GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1986-11-13,1,0,1,HFD
1986-11-15,0,0,0,LAK
1986-11-18,0,0,0,VAN
1986-11-20,0,0,0,PIT
1986-12-22,0,0,0,LAK
1987-10-10,0,0,0,WIN
1987-10-12,0,0,0,WIN
1987-10-20,0,1,1,NYI
1987-10-21,0,1,1,NYR
1987-10-24,1,3,4,QUE
1987-10-26,2,0,2,MTL
1987-10-30,0,1,1,VAN
1987-11-03,2,0,2,NYR
1987-11-05,0,2,2,EDM
1987-11-08,1,2,3,BUF
1987-11-10,1,0,1,WIN
1987-11-11,0,0,0,MNS
1987-11-13,0,2,2,LAK
1987-11-15,3,0,3,VAN
1987-11-17,1,0,1,BOS
1987-11-19,0,0,0,QUE
1987-11-21,0,0,0,PIT
1987-11-23,0,0,0,NJD
1987-11-25,0,0,0,VAN
1987-12-05,2,0,2,MNS
1987-12-08,1,0,1,WSH
1987-12-09,0,0,0,PIT
1987-12-11,1,0,1,NJD
1987-12-13,0,0,0,BUF
1987-12-16,0,0,0,WIN
1987-12-19,0,0,0,LAK
1987-12-22,0,0,0,HFD
1987-12-26,0,0,0,EDM
1987-12-28,0,1,1,MTL
1987-12-31,0,0,0,PHI
1988-01-02,0,0,0,STL
1988-01-03,0,1,1,CHI
1988-01-06,0,0,0,WIN
1988-01-08,2,2,4,NYI
1988-01-10,0,1,1,WSH
1988-01-13,0,0,0,EDM
1988-01-15,1,0,1,VAN
1988-01-19,0,1,1,VAN
1988-01-21,0,1,1,LAK
1988-01-23,2,0,2,DET
1988-01-25,2,2,4,TOR
1988-01-27,0,0,0,HFD
1988-01-30,1,0,1,VAN
1988-02-03,0,0,0,WIN
1988-02-05,0,0,0,DET
1988-02-07,1,0,1,LAK
1988-02-12,0,1,1,PHI
1988-02-14,0,1,1,WSH
1988-02-16,1,0,1,NYI
1988-02-17,0,0,0,NYR
1988-02-21,1,0,1,CHI
1988-02-26,0,1,1,VAN
1988-03-08,0,1,1,TOR
1988-03-10,0,1,1,PIT
1988-03-13,2,0,2,LAK
1988-03-15,2,1,3,CHI
1988-03-17,1,0,1,MNS
1988-03-19,0,0,0,HFD
1988-03-20,0,0,0,CHI
1988-03-22,0,3,3,WSH
1988-03-24,0,0,0,NJD
1988-03-26,0,1,1,TOR
1988-03-28,0,0,0,CGY
1988-04-01,0,0,0,EDM
1988-04-03,1,1,2,WIN
1988-10-06,2,1,3,MNS
1988-10-08,0,1,1,NYR
1988-10-12,1,0,1,TOR
1988-10-14,0,0,0,DET
1988-10-15,1,0,1,PIT
1988-10-20,1,0,1,CHI
1988-10-22,0,1,1,BOS
1988-10-27,0,2,2,PIT
1988-10-29,0,1,1,TOR
1988-11-02,2,1,3,EDM
1988-11-03,1,0,1,CGY
1988-11-05,0,1,1,QUE
1988-11-07,0,1,1,MTL
1988-11-10,0,0,0,MNS
1988-11-12,1,0,1,QUE
1988-11-15,0,1,1,NJD
1988-11-17,0,1,1,PHI
1988-11-19,0,0,0,VAN
1988-11-24,0,0,0,EDM
1988-11-26,0,1,1,WIN
1988-11-29,0,0,0,WSH
1988-12-01,0,0,0,NYI
1988-12-03,1,0,1,TOR
1988-12-06,1,0,1,MNS
1988-12-08,0,0,0,MTL
1988-12-10,1,0,1,MNS
1988-12-11,0,1,1,CHI
1988-12-13,1,0,1,NJD
1988-12-15,1,0,1,HFD
1988-12-17,0,2,2,CHI
1988-12-19,0,0,0,TOR
1988-12-20,0,0,0,DET
1988-12-22,1,1,2,DET
1988-12-26,0,0,0,CHI
1988-12-28,0,0,0,WIN
1988-12-30,1,1,2,MNS
1988-12-31,0,1,1,MNS
1989-01-02,2,1,3,BOS
1989-01-04,0,0,0,DET
1989-01-07,1,1,2,PHI
1989-01-12,0,0,0,LAK
1989-01-15,0,0,0,VAN
1989-01-17,0,1,1,LAK
1989-01-19,0,0,0,NYR
1989-01-21,1,0,1,CHI
1989-01-25,1,0,1,HFD
1989-01-26,0,0,0,BOS
1989-01-28,0,0,0,WSH
1989-01-31,0,1,1,WIN
1989-02-02,1,2,3,BUF
1989-02-03,0,1,1,PIT
1989-02-05,1,1,2,CHI
1989-02-09,0,0,0,CGY
1989-02-11,1,2,3,NYI
1989-02-12,1,0,1,BUF
1989-02-14,0,0,0,WSH
1989-02-16,2,0,2,NYI
1989-02-18,0,0,0,MTL
1989-02-21,0,0,0,VAN
1989-02-24,0,1,1,CGY
1989-02-25,0,0,0,EDM
1989-02-27,1,3,4,TOR
1989-03-02,1,1,2,LAK
1989-03-04,1,1,2,DET
1989-03-05,0,1,1,CHI
1989-03-07,1,1,2,NJD
1989-03-09,1,0,1,TOR
1989-03-11,2,0,2,MNS
1989-03-12,1,0,1,MNS
1989-03-14,0,1,1,CHI
1989-03-16,2,0,2,PHI
1989-03-18,1,1,2,DET
1989-03-20,0,1,1,NYR
1989-03-22,0,0,0,BUF
1989-03-25,0,0,0,HFD
1989-03-27,1,1,2,DET
1989-03-30,0,2,2,QUE
1989-04-01,2,1,3,TOR
1989-10-05,2,0,2,CHI
1989-10-07,1,0,1,TOR
1989-10-12,0,0,0,MNS
1989-10-14,0,0,0,CHI
1989-10-18,3,2,5,PIT
1989-10-19,1,1,2,DET
1989-10-21,2,0,2,LAK
1989-10-24,0,0,0,PHI
1989-10-26,1,1,2,MNS
1989-10-28,1,0,1,WSH
1989-10-31,0,0,0,WSH
1989-11-01,2,2,4,HFD
1989-11-04,0,1,1,QUE
1989-11-06,0,0,0,MTL
1989-11-09,0,0,0,MTL
1989-11-11,2,2,4,PIT
1989-11-15,1,1,2,TOR
1989-11-16,1,2,3,DET
1989-11-18,0,0,0,MNS
1989-11-21,0,1,1,MNS
1989-11-23,0,2,2,WIN
1989-11-25,0,0,0,CGY
1989-11-28,0,0,0,BOS
1989-11-30,1,2,3,HFD
1989-12-02,1,0,1,BOS
1989-12-03,1,0,1,BUF
1989-12-05,0,0,0,DET
1989-12-07,2,0,2,TOR
1989-12-09,1,1,2,VAN
1989-12-11,0,0,0,TOR
1989-12-13,1,1,2,NYR
1989-12-16,1,1,2,EDM
1989-12-18,1,0,1,TOR
1989-12-20,3,0,3,CHI
1989-12-23,0,0,0,NJD
1989-12-26,2,0,2,CHI
1989-12-28,0,0,0,NYI
1989-12-30,1,1,2,MNS
1989-12-31,1,0,1,MNS
1990-01-02,2,0,2,EDM
1990-01-04,0,2,2,PHI
1990-01-06,1,0,1,NYR
1990-01-09,1,0,1,LAK
1990-01-12,1,1,2,VAN
1990-01-14,3,0,3,WIN
1990-01-16,0,1,1,CGY
1990-01-18,1,0,1,TOR
1990-01-23,2,1,3,DET
1990-01-25,1,1,2,HFD
1990-01-27,0,2,2,WIN
1990-01-30,1,1,2,NYI
1990-01-31,1,0,1,NYR
1990-02-03,2,1,3,DET
1990-02-06,1,1,2,TOR
1990-02-07,0,1,1,TOR
1990-02-10,1,1,2,NJD
1990-02-11,1,0,1,BUF
1990-02-13,0,0,0,MNS
1990-02-15,3,0,3,QUE
1990-02-17,1,0,1,DET
1990-02-20,0,1,1,CHI
1990-02-22,1,0,1,PHI
1990-02-24,1,1,2,QUE
1990-02-25,3,0,3,MTL
1990-02-27,1,0,1,BUF
1990-03-01,0,0,0,CHI
1990-03-03,2,2,4,NYI
1990-03-06,0,0,0,NJD
1990-03-08,1,0,1,DET
1990-03-10,1,0,1,CHI
1990-03-11,0,2,2,CHI
1990-03-13,0,0,0,WSH
1990-03-15,1,0,1,VAN
1990-03-17,1,0,1,DET
1990-03-19,1,0,1,CGY
1990-03-21,1,0,1,EDM
1990-03-24,0,0,0,LAK
1990-03-27,0,0,0,BOS
1990-03-29,0,1,1,PIT
1990-03-31,2,0,2,MNS
1990-10-04,2,0,2,MNS
1990-10-06,0,0,0,CHI
1990-10-09,2,0,2,PIT
1990-10-12,0,0,0,VAN
1990-10-14,0,0,0,LAK
1990-10-16,1,2,3,EDM
1990-10-18,2,0,2,CGY
1990-10-20,0,0,0,MNS
1990-10-24,3,1,4,TOR
1990-10-25,3,0,3,TOR
1990-10-27,1,0,1,MTL
1990-10-30,1,1,2,DET
1990-11-01,1,0,1,BOS
1990-11-03,0,1,1,HFD
1990-11-06,1,0,1,EDM
1990-11-08,0,1,1,PIT
1990-11-10,0,1,1,DET
1990-11-13,2,0,2,QUE
1990-11-17,0,0,0,MNS
1990-11-18,2,0,2,WIN
1990-11-20,0,0,0,WIN
1990-11-23,0,1,1,DET
1990-11-24,2,0,2,VAN
1990-11-27,1,1,2,TOR
1990-11-29,2,1,3,LAK
1990-12-01,0,0,0,NJD
1990-12-02,1,0,1,CHI
1990-12-07,2,1,3,DET
1990-12-08,0,1,1,DET
1990-12-11,0,1,1,WIN
1990-12-13,2,1,3,MNS
1990-12-15,1,0,1,TOR
1990-12-16,2,0,2,BUF
1990-12-20,2,0,2,WSH
1990-12-22,0,0,0,CHI
1990-12-26,1,0,1,CHI
1990-12-27,1,0,1,TOR
1990-12-29,0,1,1,PHI
1990-12-31,0,0,0,PIT
1991-01-03,1,1,2,QUE
1991-01-05,2,0,2,NYR
1991-01-08,2,0,2,NJD
1991-01-09,1,0,1,NYR
1991-01-12,0,1,1,QUE
1991-01-13,1,0,1,MTL
1991-01-15,1,3,4,WSH
1991-01-17,0,0,0,MTL
1991-01-22,2,0,2,MNS
1991-01-25,2,2,4,DET
1991-01-26,2,0,2,DET
1991-02-02,1,1,2,NJD
1991-02-04,2,2,4,TOR
1991-02-06,2,0,2,BUF
1991-02-09,1,0,1,LAK
1991-02-12,1,2,3,EDM
1991-02-14,2,1,3,VAN
1991-02-17,2,1,3,CGY
1991-02-19,1,1,2,TOR
1991-02-21,1,4,5,NYI
1991-02-23,3,1,4,BOS
1991-02-24,0,0,0,CHI
1991-02-26,1,0,1,CHI
1991-02-28,0,0,0,NYR
1991-03-02,1,3,4,PHI
1991-03-05,2,2,4,HFD
1991-03-07,3,1,4,BOS
1991-03-09,1,0,1,CGY
1991-03-10,1,0,1,DET
1991-03-14,1,0,1,MNS
1991-03-16,1,0,1,CHI
1991-03-17,0,1,1,CHI
1991-03-19,1,0,1,WSH
1991-03-21,0,0,0,PHI
1991-03-23,1,0,1,NYI
1991-03-25,2,0,2,MNS
1991-03-28,1,1,2,NYI
1991-03-30,1,1,2,TOR
1991-03-31,1,1,2,MNS
1991-10-05,1,0,1,NJD
1991-10-07,0,0,0,TOR
1991-10-10,1,2,3,EDM
1991-10-12,0,1,1,SJS
1991-10-15,0,2,2,TOR
1991-10-17,0,0,0,DET
1991-10-19,1,1,2,CHI
1991-10-20,0,0,0,CHI
1991-10-24,2,0,2,BOS
1991-10-26,1,0,1,CGY
1991-10-28,0,0,0,TOR
1991-10-30,1,1,2,EDM
1991-11-01,1,0,1,VAN
1991-11-03,0,1,1,WIN
1991-11-05,2,0,2,PHI
1991-11-07,2,0,2,DET
1991-11-09,3,0,3,HFD
1991-11-10,1,0,1,DET
1991-11-14,0,0,0,WIN
1991-11-16,0,2,2,MNS
1991-11-17,0,0,0,CHI
1991-11-20,2,2,4,TOR
1991-11-23,0,0,0,NYR
1991-11-28,1,1,2,QUE
1991-11-30,3,1,4,DET
1991-12-03,1,0,1,MNS
1991-12-04,1,1,2,MNS
1991-12-07,0,1,1,PIT
1991-12-10,3,0,3,NYI
1991-12-11,1,1,2,BUF
1991-12-14,1,0,1,QUE
1991-12-16,0,1,1,MTL
1991-12-19,1,1,2,SJS
1991-12-21,3,1,4,NYI
1991-12-22,1,0,1,CHI
1991-12-26,1,0,1,CHI
1991-12-28,1,0,1,MNS
1991-12-31,1,0,1,BUF
1992-01-02,1,1,2,MNS
1992-01-04,1,0,1,DET
1992-01-06,1,0,1,TOR
1992-01-08,3,1,4,NYR
1992-01-09,0,2,2,NJD
1992-01-11,1,1,2,NYI
1992-01-14,0,1,1,WSH
1992-01-16,3,1,4,MTL
1992-01-21,1,0,1,BUF
1992-01-23,1,0,1,LAK
1992-01-25,0,0,0,VAN
1992-01-28,1,0,1,LAK
1992-01-30,2,0,2,SJS
1992-02-01,0,0,0,PIT
1992-02-02,0,0,0,PHI
1992-02-06,2,0,2,NJD
1992-02-08,0,0,0,CHI
1992-02-11,1,0,1,LAK
1992-02-13,0,0,0,BOS
1992-02-15,1,2,3,CGY
1992-02-17,1,0,1,DET
1992-02-19,0,2,2,WIN
1992-02-22,0,2,2,TOR
1992-02-23,1,0,1,CHI
1992-02-25,1,1,2,HFD
1992-02-27,3,1,4,WSH
1992-02-29,1,1,2,DET
1992-03-02,3,0,3,VAN
1992-03-06,0,1,1,EDM
1992-03-07,0,0,0,CGY
1992-03-10,1,1,2,MNS
1992-03-12,0,1,1,DET
1992-04-12,1,0,1,MNS
1992-04-14,1,0,1,CHI
1992-04-16,1,0,1,MNS
1992-10-06,2,0,2,MNS
1992-10-08,0,1,1,MNS
1992-10-10,0,0,0,CHI
1992-10-13,0,1,1,TBL
1992-10-15,1,0,1,MNS
1992-10-17,0,1,1,QUE
1992-10-19,0,0,0,MTL
1992-10-21,0,2,2,QUE
1992-10-24,0,1,1,DET
1992-10-26,0,1,1,SJS
1992-10-29,1,1,2,PIT
1992-10-31,1,3,4,PHI
1992-11-03,0,0,0,TBL
1992-11-05,0,3,3,PIT
1992-11-07,1,0,1,PHI
1992-11-10,1,1,2,EDM
1992-11-12,0,0,0,CHI
1992-11-14,0,2,2,WIN
1992-11-16,1,0,1,TOR
1992-11-18,1,0,1,HFD
1992-11-21,1,1,2,TBL
1992-11-25,2,2,4,DET
1992-11-26,1,0,1,VAN
1992-11-28,0,0,0,DET
1992-12-01,1,1,2,HFD
1992-12-04,0,1,1,CGY
1992-12-05,1,1,2,EDM
1992-12-07,0,1,1,VAN
1992-12-10,0,0,0,SJS
1992-12-12,1,1,2,LAK
1992-12-15,1,0,1,NYI
1992-12-17,0,1,1,NYR
1992-12-19,0,0,0,WIN
1992-12-22,1,0,1,MNS
1992-12-26,1,1,2,CHI
1992-12-27,0,0,0,TOR
1992-12-31,2,0,2,NYI
1993-01-02,2,0,2,TOR
1993-01-03,1,0,1,BUF
1993-01-05,2,0,2,EDM
1993-01-07,0,1,1,CGY
1993-01-09,0,0,0,CHI
1993-01-11,0,0,0,DET
1993-01-13,1,0,1,TOR
1993-01-14,1,1,2,OTT
1993-01-16,1,1,2,TBL
1993-01-19,0,1,1,TOR
1993-01-21,1,1,2,DET
1993-01-23,2,0,2,DET
1993-01-26,2,2,4,OTT
1993-01-28,2,1,3,TBL
1993-01-30,0,0,0,NJD
1993-02-01,0,0,0,TOR
1993-02-03,1,2,3,WIN
1993-02-08,0,0,0,HFD
1993-02-09,0,0,0,BOS
1993-02-11,1,1,2,WSH
1993-02-13,1,0,1,DET
1993-02-15,1,0,1,NYR
1993-02-17,1,1,2,NJD
1993-02-18,1,0,1,NYI
1993-02-21,1,0,1,WSH
1993-02-23,0,0,0,MTL
1993-02-25,0,1,1,LAK
1993-02-27,1,0,1,MNS
1993-02-28,1,1,2,CHI
1993-03-04,1,0,1,CGY
1993-03-06,0,1,1,BOS
1993-03-11,1,2,3,SJS
1993-03-13,1,1,2,MNS
1993-03-14,0,0,0,MNS
1993-03-16,1,0,1,BUF
1993-03-20,1,0,1,LAK
1993-04-03,0,1,1,CHI
1993-04-04,0,1,1,CHI
1993-04-06,0,0,0,TBL
1993-04-10,2,0,2,MNS
1993-04-11,2,0,2,MNS
1993-04-13,0,0,0,TOR
1993-04-15,0,0,0,TBL
1993-10-07,0,0,0,FLA
1993-10-19,0,2,2,SJS
1993-10-21,1,1,2,SJS
1993-10-23,0,2,2,PIT
1993-10-26,0,2,2,CHI
1993-10-28,0,0,0,HFD
1993-10-30,0,0,0,BOS
1993-11-01,2,1,3,HFD
1993-11-03,0,1,1,WIN
1993-11-06,2,1,3,EDM
1993-11-09,2,1,3,PIT
1993-11-11,1,2,3,TOR
1993-11-13,2,1,3,LAK
1993-11-16,0,0,0,VAN
1993-11-18,1,0,1,CGY
1993-11-20,0,1,1,LAK
1993-11-21,2,0,2,DET
1993-11-24,0,1,1,WSH
1993-11-26,1,2,3,NJD
1993-11-28,0,0,0,WIN
1993-12-01,0,0,0,TOR
1993-12-02,1,1,2,TOR
1993-12-04,1,1,2,DAL
1993-12-07,0,0,0,CHI
1993-12-09,1,0,1,DET
1993-12-11,0,0,0,LAK
1993-12-12,0,0,0,ANA
1993-12-15,1,1,2,SJS
1993-12-17,0,1,1,CGY
1993-12-19,3,0,3,EDM
1993-12-23,1,0,1,TBL
1993-12-26,0,1,1,CHI
1993-12-27,0,0,0,MTL
1993-12-29,1,0,1,NYR
1993-12-31,0,0,0,WIN
1994-01-02,1,1,2,CGY
1994-01-04,0,0,0,DET
1994-01-06,2,0,2,HFD
1994-01-08,2,0,2,ANA
1994-01-09,0,0,0,DAL
1994-01-13,2,1,3,EDM
1994-01-15,0,1,1,BUF
1994-01-18,0,0,0,NYR
1994-01-19,0,0,0,PHI
1994-01-24,1,2,3,ANA
1994-01-25,0,1,1,VAN
1994-01-28,0,0,0,EDM
1994-01-29,2,0,2,CGY
1994-02-01,3,1,4,TOR
1994-02-03,1,0,1,QUE
1994-02-05,0,0,0,SJS
1994-02-08,1,2,3,WIN
1994-02-10,0,1,1,WSH
1994-02-12,1,0,1,DET
1994-02-15,2,0,2,VAN
1994-02-18,1,1,2,BOS
1994-02-20,0,0,0,ANA
1994-02-24,0,0,0,QUE
1994-02-26,0,2,2,OTT
1994-02-28,1,0,1,NJD
1994-03-01,1,0,1,NYI
1994-03-03,0,0,0,VAN
1994-03-07,0,1,1,TOR
1994-03-09,1,0,1,MTL
1994-03-12,1,1,2,NYI
1994-03-16,0,0,0,WIN
1994-03-18,1,0,1,TOR
1994-03-20,1,2,3,CHI
1994-03-22,0,0,0,PHI
1994-03-23,0,0,0,BUF
1994-03-25,3,0,3,DAL
1994-03-27,1,0,1,SJS
1994-03-30,0,0,0,FLA
1994-04-01,0,0,0,TBL
1994-04-03,1,0,1,DET
1994-04-05,1,0,1,CHI
1994-04-07,1,0,1,LAK
1994-04-08,0,0,0,CHI
1994-04-10,1,0,1,DAL
1994-04-12,0,0,0,DAL
1994-04-14,1,0,1,WIN
1995-01-20,2,2,4,SJS
1995-01-21,0,0,0,VAN
1995-01-24,0,0,0,CGY
1995-01-26,2,0,2,LAK
1995-01-28,0,0,0,VAN
1995-01-31,1,1,2,ANA
1995-02-02,1,1,2,WIN
1995-02-04,3,1,4,DAL
1995-02-07,0,0,0,LAK
1995-02-09,0,0,0,CHI
1995-02-11,0,2,2,WIN
1995-02-13,1,0,1,CGY
1995-02-17,0,1,1,WIN
1995-02-18,1,0,1,TOR
1995-02-20,1,1,2,EDM
1995-02-22,0,0,0,SJS
1995-02-25,0,0,0,DET
1995-02-27,1,0,1,TOR
1995-03-05,0,1,1,DAL
1995-03-07,2,1,3,ANA
1995-03-09,2,0,2,CGY
1995-03-12,1,0,1,DET
1995-03-14,0,0,0,EDM
1995-03-16,0,1,1,LAK
1995-03-19,0,0,0,ANA
1995-03-20,0,0,0,LAK
1995-03-22,1,0,1,CGY
1995-03-26,0,1,1,EDM
1995-03-27,1,0,1,DAL
1995-03-29,0,1,1,CHI
1995-03-31,0,2,2,SJS
1995-04-02,1,1,2,DET
1995-04-03,0,1,1,TOR
1995-04-05,2,0,2,TOR
1995-04-09,0,1,1,DAL
1995-04-11,1,0,1,WIN
1995-04-13,0,0,0,WIN
1995-04-16,4,0,4,DET
1995-04-18,0,0,0,VAN
1995-04-19,0,0,0,CHI
1995-04-21,0,0,0,TOR
1995-04-23,0,0,0,CHI
1995-04-25,0,1,1,DAL
1995-04-27,1,0,1,EDM
1995-04-28,0,1,1,VAN
1995-04-30,0,0,0,SJS
1995-05-01,0,0,0,ANA
1995-05-03,0,0,0,DET
1995-10-07,0,1,1,WSH
1995-10-10,4,0,4,EDM
1995-10-12,0,1,1,DAL
1995-10-14,0,0,0,COL
1995-10-17,0,1,1,BOS
1995-10-19,1,0,1,DAL
1995-10-21,1,0,1,CHI
1995-10-22,0,1,1,BUF
1995-10-25,1,1,2,HFD
1995-10-27,1,1,2,ANA
1995-10-29,0,1,1,WSH
1995-11-01,0,0,0,ANA
1995-11-10,0,0,0,WIN
1995-11-23,0,2,2,VAN
1995-11-25,1,1,2,TOR
1995-11-27,0,0,0,BUF
1995-11-29,1,2,3,MTL
1995-11-30,2,0,2,WIN
1995-12-02,2,1,3,EDM
1995-12-05,0,0,0,CGY
1995-12-08,2,0,2,VAN
1995-12-09,2,0,2,LAK
1995-12-12,0,0,0,DET
1995-12-16,2,1,3,SJS
1995-12-19,0,3,3,NYI
1995-12-22,0,0,0,COL
1995-12-23,1,0,1,WIN
1995-12-26,1,0,1,DET
1995-12-28,2,1,3,DAL
1995-12-30,0,1,1,TOR
1996-01-04,1,1,2,CHI
1996-01-06,1,1,2,PIT
1996-01-09,1,0,1,NJD
1996-01-11,0,1,1,PHI
1996-01-13,0,0,0,MTL
1996-01-14,0,1,1,NYR
1996-01-16,0,0,0,EDM
1996-01-24,1,1,2,WIN
1996-01-27,0,0,0,TBL
1996-01-29,0,0,0,OTT
1996-01-31,0,2,2,TOR
1996-02-01,0,1,1,VAN
1996-02-03,2,0,2,PHI
1996-02-06,0,1,1,DAL
1996-02-08,0,1,1,CHI
